name,structure_type,code,water_threshold,inlet/outlet,geometry,CL_threshold_during_regular_operation_(mg/l),CL_threshold_during_drought_(mg/l),subarea,main_water_branch
Hevel Hoogezandsepolder,Hevel,29596HE,0.0,primair inlaatpunt,POINT (4.494362212919417 51.710406539526225),250,600,Hoeksche Waard,Hollandsch Diep
Gemaal Albrandswaard,Gemaal,08022GM,-0.5,primair in- en uitlaatpunt,POINT (4.405623487337877 51.84727901441771),250,600,IJsselmonde,Oude Maas
Inlaat Oostkade,Duiker,18501DU,-0.75,primair inlaatpunt,POINT (4.128664597263788 51.820869592772944),250,600,Voorne-Putten,Haringvliet
Gemaal Prinsenheuvel,Gemaal,09296GM,-0.8,primair in- en uitlaatpunt,POINT (4.666596440679655 51.75370842132629),250,600,Eiland van Dordrecht,Nieuwe Merwede
Gemaal De Bosschen,Gemaal,09224GM,-1.2,primair in- en uitlaatpunt,POINT (4.449871510870238 51.829507132855824),250,600,Hoeksche Waard,Oude Maas
Hevel Rhoonse Haven - Havenkade,Hevel,05092HE,-0.5,primair inlaatpunt,POINT (4.423086468895336 51.84597188972841),250,600,IJsselmonde,Oude Maas
Inlaatsluis Zuiderdiep,Sluis,00025SL,0.0,primair inlaatpunt,POINT (4.118862519623657 51.793656896532156),250,600,Goeree-Overflakkee,Haringvliet
Inlaat Westplaat I,Duiker,01429DU,-0.7,primair inlaatpunt,POINT (4.1674135873465445 51.76202231145164),250,600,Goeree-Overflakkee,Haringvliet
Hevel De Noord - Crezeepolder,Hevel,04683HE,-0.4,primair in- en uitlaatpunt,POINT (4.651498454549518 51.856271714345645),250,600,IJsselmonde,Noord
Inlaat Haven Heinenoord,Duiker,14196DU,-1.2,primair in- en uitlaatpunt,POINT (4.472030035160666 51.82913076372403),250,600,Hoeksche Waard,Oude Maas
Gemaal Oudenhoorn,Gemaal,05768GM,-1.3,primair in- en uitlaatpunt,POINT (4.168524426058192 51.8166826279097),150,500,Voorne-Putten,Haringvliet
