# Day in year,Hollandsche IJssel,Lek,Waal,Maas,Haringvliet
1.730000000000000000e+02,0.000000000000000000e+00,2.975606936416184567e+01,1.176071676300578019e+03,9.895999999999999375e+01,6.439005780346819563e+01
1.740000000000000000e+02,0.000000000000000000e+00,7.524613861386140456e+01,1.247599267326732615e+03,9.343000000000000682e+01,1.152189702970297276e+02
1.750000000000000000e+02,0.000000000000000000e+00,6.912455445544559041e+01,1.239671069306930804e+03,9.082999999999999829e+01,1.085598811881188510e+02
1.760000000000000000e+02,0.000000000000000000e+00,3.085247524752471548e+01,1.190104059405940461e+03,8.795000000000000284e+01,6.692732673267322241e+01
1.770000000000000000e+02,0.000000000000000000e+00,2.844132947976878967e+01,1.106390462427745661e+03,8.237999999999999545e+01,5.571277456647399617e+01
1.780000000000000000e+02,0.000000000000000000e+00,2.761921965317919003e+01,1.062818641618497168e+03,7.681999999999999318e+01,5.028684971098265777e+01
1.790000000000000000e+02,0.000000000000000000e+00,2.721734104046242919e+01,1.041519075144508633e+03,7.137999999999999545e+01,4.763445086705202414e+01
1.800000000000000000e+02,0.000000000000000000e+00,2.654884393063584014e+01,1.006088728323699343e+03,6.670999999999999375e+01,4.322236994219653639e+01
1.810000000000000000e+02,0.000000000000000000e+00,2.583381502890173564e+01,9.681921965317919785e+02,6.310999999999999943e+01,3.850317919075144601e+01
1.820000000000000000e+02,0.000000000000000000e+00,2.578771676300577909e+01,9.657489884393062312e+02,6.035000000000000142e+01,3.819893063583814552e+01
1.830000000000000000e+02,0.000000000000000000e+00,2.542369942196531696e+01,9.464560693641617490e+02,5.825999999999999801e+01,3.579641618497109334e+01
1.840000000000000000e+02,0.000000000000000000e+00,2.491893063583815149e+01,9.197033236994220715e+02,5.677000000000000313e+01,3.246494219653180124e+01
1.850000000000000000e+02,0.000000000000000000e+00,2.436661849710982608e+01,8.904307803468208249e+02,5.510000000000000142e+01,2.881968208092485995e+01
1.860000000000000000e+02,0.000000000000000000e+00,2.407817919075144530e+01,8.751434971098266260e+02,5.364000000000000057e+01,2.691598265895953901e+01
1.870000000000000000e+02,0.000000000000000000e+00,2.357731213872832399e+01,8.485975433526011784e+02,5.271000000000000085e+01,2.361026011560693050e+01
1.880000000000000000e+02,0.000000000000000000e+00,2.339869942196531838e+01,8.391310693641619309e+02,5.200000000000000000e+01,2.243141618497110201e+01
1.890000000000000000e+02,0.000000000000000000e+00,2.340650289017341024e+01,8.395446531791907319e+02,5.074000000000000199e+01,2.248291907514450827e+01
1.900000000000000000e+02,0.000000000000000000e+00,2.351878612716762973e+01,8.454956647398844325e+02,4.929999999999999716e+01,2.322398843930635692e+01
1.910000000000000000e+02,0.000000000000000000e+00,2.347716763005780294e+01,8.432898843930635167e+02,4.820000000000000284e+01,2.294930635838149158e+01
1.920000000000000000e+02,2.000000000000000000e+00,2.319971098265896003e+01,8.265846820809249493e+02,4.774000000000000199e+01,2.111809248554913765e+01
1.930000000000000000e+02,2.000000000000000000e+00,2.284580924855491446e+01,8.078278901734104238e+02,4.785999999999999943e+01,1.878234104046243402e+01
1.940000000000000000e+02,2.000000000000000000e+00,2.244537572254335345e+01,7.866049132947977114e+02,4.775000000000000000e+01,0.000000000000000000e+00
1.950000000000000000e+02,2.000000000000000000e+00,2.212413294797687868e+01,7.695790462427745524e+02,4.721999999999999886e+01,0.000000000000000000e+00
1.960000000000000000e+02,2.000000000000000000e+00,2.174089595375722439e+01,7.492674855491329708e+02,4.657000000000000028e+01,0.000000000000000000e+00
1.970000000000000000e+02,2.000000000000000000e+00,2.140982658959537588e+01,7.317208092485548150e+02,4.600999999999999801e+01,0.000000000000000000e+00
1.980000000000000000e+02,2.000000000000000000e+00,2.110997109826589480e+01,7.158284682080924313e+02,4.560000000000000142e+01,0.000000000000000000e+00
1.990000000000000000e+02,2.000000000000000000e+00,2.089739884393063463e+01,7.045621387283237027e+02,4.517000000000000171e+01,0.000000000000000000e+00
2.000000000000000000e+02,2.000000000000000000e+00,2.078092485549132817e+01,6.983890173410404714e+02,4.482000000000000028e+01,0.000000000000000000e+00
2.010000000000000000e+02,2.000000000000000000e+00,2.054971098265895790e+01,6.861346820809247902e+02,4.454999999999999716e+01,0.000000000000000000e+00
2.020000000000000000e+02,2.000000000000000000e+00,2.034263005780346845e+01,6.751593930635838205e+02,4.409000000000000341e+01,0.000000000000000000e+00
2.030000000000000000e+02,2.000000000000000000e+00,2.015881502890173493e+01,6.654171965317918875e+02,4.346000000000000085e+01,0.000000000000000000e+00
2.040000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.535855803571428169e+02,4.284000000000000341e+01,0.000000000000000000e+00
2.050000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.455212053571428896e+02,4.228000000000000114e+01,0.000000000000000000e+00
2.060000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.434424999999999955e+02,4.153000000000000114e+01,0.000000000000000000e+00
2.070000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.376321428571427532e+02,4.064000000000000057e+01,0.000000000000000000e+00
2.080000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+01,6.550381696428571558e+02,3.968999999999999773e+01,0.000000000000000000e+00
2.090000000000000000e+02,2.000000000000000000e+00,2.045115606936416341e+01,6.809112716763005437e+02,3.878999999999999915e+01,0.000000000000000000e+00
